Year,Authors,Title,Country,Industry/Market,Approach,Period,Data Frequency,Type of MP,Market Power Index,,
,,,Poland,Slaughtering,SFA,2003-2012,Yearly,Oligopsony,0.0931,,
,,,Portugal,Slaughtering,SFA,2003-2012,Yearly,Oligopsony,0.1344,,
,,,Romania,Slaughtering,SFA,2003-2012,Yearly,Oligopsony,0.1386,,
,,,Sweden,Slaughtering,SFA,2003-2012,Yearly,Oligopsony,0.1638,,
,,,Slovenia,Slaughtering,SFA,2003-2012,Yearly,Oligopsony,0.1324,,
,,,Slovakia,Slaughtering,SFA,2003-2012,Yearly,Oligopsony,0.0914,,
,,,Austria,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1441,,
,,,Belgium,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1681,,
,,,Bulgaria,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.0906,,
,,,Czech Republic,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1182,,
,,,Germany,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1299,,
,,,Denmark,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1113,,
,,,Estonia,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.0447,,
,,,Spain,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1101,,
,,,Finland,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1087,,
,,,France,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1512,,
,,,United Kingdom,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.0712,,
,,,Greece,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.0514,,
,,,Hungary,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.0981,,
,,,Italy,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1138,,
,,,Latvia,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.0706,,
,,,Lithuania,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.0509,,
,,,Netherlands,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1601,,
,,,Poland,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.0746,,
,,,Portugal,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1161,,
,,,Romania,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.0957,,
,,,Sweden,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1019,,
,,,Slovenia,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.1207,,
,,,Slovakia,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopsony,0.0701,,
,,,Austria,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0575,,
,,,Belgium,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0615,,
,,,Bulgaria,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0946,,
,,,Czech Republic,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0811,,
,,,Germany,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0589,,
,,,Denmark,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0626,,
,,,Estonia,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0616,,
,,,Spain,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0695,,
,,,Finland,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0568,,
,,,France,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0748,,
,,,United Kingdom,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0546,,
,,,Greece,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0569,,
,,,Hungary,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.063,,
,,,Italy,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0653,,
,,,Ireland,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0419,,
,,,Latvia,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0591,,
,,,Lithuania,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0564,,
,,,Netherlands,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0621,,
,,,Poland,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0555,,
,,,Portugal,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0781,,
,,,Romania,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.1047,,
,,,Sweden,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.062,,
,,,Slovenia,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0571,,
,,,Slovakia,Dairy,SFA,2003-2012,Yearly,Oligopsony,0.0575,,
,,,Belgium,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0652,,
,,,Bulgaria,Milling,SFA,2003-2012,Yearly,Oligopsony,0.084,,
,,,Czech Republic,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0849,,
,,,Germany,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0718,,
,,,Denmark,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0701,,
,,,Estonia,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0567,,
,,,Spain,Milling,SFA,2003-2012,Yearly,Oligopsony,0.061,,
,,,Finland,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0775,,
,,,France,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0799,,
,,,United Kingdom,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0622,,
,,,Greece,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0622,,
,,,Hungary,Milling,SFA,2003-2012,Yearly,Oligopsony,0.068,,
,,,Italy,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0628,,
,,,Ireland,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0652,,
,,,Latvia,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0566,,
,,,Lithuania,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0678,,
,,,Netherlands,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0821,,
,,,Poland,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0673,,
,,,Portugal,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0655,,
,,,Romania,Milling,SFA,2003-2012,Yearly,Oligopsony,0.1034,,
,,,Sweden,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0777,,
,,,Slovenia,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0741,,
,,,Slovakia,Milling,SFA,2003-2012,Yearly,Oligopsony,0.0636,,
,,,Austria,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0746,,
,,,Belgium,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0828,,
,,,Bulgaria,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.1259,,
,,,Czech Republic,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0887,,
,,,Germany,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0765,,
,,,Denmark,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0852,,
,,,Estonia,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0819,,
,,,Spain,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0975,,
,,,Finland,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.087,,
,,,France,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.081,,
,,,United Kingdom,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0788,,
,,,Greece,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0832,,
,,,Hungary,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.1001,,
,,,Italy,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0818,,
,,,Ireland,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.074,,
,,,Latvia,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0864,,
,,,Lithuania,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0917,,
,,,Netherlands,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.1081,,
,,,Poland,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0832,,
,,,Portugal,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0782,,
,,,Romania,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.1527,,
,,,Sweden,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0797,,
,,,Slovenia,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0801,,
,,,Slovakia,Slaughtering,SFA,2003-2012,Yearly,Oligopoly,0.0847,,
,,,Austria,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.085,,
,,,Belgium,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.0969,,
,,,Bulgaria,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.2042,,
,,,Czech Republic,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.0984,,
,,,Germany,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.093,,
,,,Denmark,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.0907,,
,,,Estonia,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.1357,,
,,,Spain,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.1172,,
,,,Finland,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.1065,,
,,,France,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.0948,,
,,,United Kingdom,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.095,,
,,,Greece,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.1131,,
,,,Hungary,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.1112,,
,,,Italy,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.0982,,
,,,Latvia,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.1078,,
,,,Lithuania,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.0917,,
,,,Netherlands,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.0989,,
,,,Poland,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.103,,
,,,Portugal,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.1078,,
,,,Romania,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.2102,,
,,,Sweden,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.0987,,
,,,Slovenia,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.1742,,
,,,Slovakia,Fruits and vegetables,SFA,2003-2012,Yearly,Oligopoly,0.1414,,
,,,Belgium,Milling,SFA,2003-2012,Yearly,Oligopoly,0.0858,,
,,,Bulgaria,Milling,SFA,2003-2012,Yearly,Oligopoly,0.1402,,
,,,Czech Republic,Milling,SFA,2003-2012,Yearly,Oligopoly,0.1319,,
,,,Germany,Milling,SFA,2003-2012,Yearly,Oligopoly,0.084,,
,,,Denmark,Milling,SFA,2003-2012,Yearly,Oligopoly,0.1169,,
,,,Estonia,Milling,SFA,2003-2012,Yearly,Oligopoly,0.0757,,
,,,Spain,Milling,SFA,2003-2012,Yearly,Oligopoly,0.0925,,
,,,Finland,Milling,SFA,2003-2012,Yearly,Oligopoly,0.0781,,
,,,France,Milling,SFA,2003-2012,Yearly,Oligopoly,0.0933,,
,,,United Kingdom,Milling,SFA,2003-2012,Yearly,Oligopoly,0.0965,,
,,,Greece,Milling,SFA,2003-2012,Yearly,Oligopoly,0.1213,,
,,,Hungary,Milling,SFA,2003-2012,Yearly,Oligopoly,0.1041,,
,,,Italy,Milling,SFA,2003-2012,Yearly,Oligopoly,0.0958,,
,,,Ireland,Milling,SFA,2003-2012,Yearly,Oligopoly,0.1086,,
,,,Latvia,Milling,SFA,2003-2012,Yearly,Oligopoly,0.095,,
,,,Lithuania,Milling,SFA,2003-2012,Yearly,Oligopoly,0.1186,,
,,,Netherlands,Milling,SFA,2003-2012,Yearly,Oligopoly,0.1346,,
,,,Poland,Milling,SFA,2003-2012,Yearly,Oligopoly,0.1064,,
,,,Portugal,Milling,SFA,2003-2012,Yearly,Oligopoly,0.103,,
,,,Romania,Milling,SFA,2003-2012,Yearly,Oligopoly,0.1425,,
,,,Sweden,Milling,SFA,2003-2012,Yearly,Oligopoly,0.102,,
,,,Slovenia,Milling,SFA,2003-2012,Yearly,Oligopoly,0.0706,,
,,,Slovakia,Milling,SFA,2003-2012,Yearly,Oligopoly,0.0863,,
1997,Sanjib Bhuyan and Rigoberto A. Lopez,Oligopoly Power in the Food and Tobacco Industries,USA,Meat Packing,PTA,1972-1987,Yearly,Oligopoly,0.415,,
,,,USA,Satis. & Prep. Meat,PTA,1972-1987,Yearly,Oligopoly,0.21,,
,,,USA,Poul. & Egg Prod.,PTA,1972-1987,Yearly,Oligopoly,0.392,,
,,,USA,Creamery Butter,PTA,1972-1987,Yearly,Oligopoly,0.5,,
,,,USA,Cond. & Evp. Milk,PTA,1972-1987,Yearly,Oligopoly,0.593,,
,,,USA,Ice Cream,PTA,1972-1987,Yearly,Oligopoly,0.332,,
,,,USA,Fluid Milk,PTA,1972-1987,Yearly,Oligopoly,0.236,,
,,,USA,Canned Special.,PTA,1972-1987,Yearly,Oligopoly,0.116,,
,,,USA,Canned Fruits & Vegetables,PTA,1972-1987,Yearly,Oligopoly,0.242,,
,,,USA,Pickled Sauces,PTA,1972-1987,Yearly,Oligopoly,0.53,,
,,,USA,Flour & Grain Mills,PTA,1972-1987,Yearly,Oligopoly,0.679,,
,,,USA,Cereal Preparation,PTA,1972-1987,Yearly,Oligopoly,0.717,,
,,,USA,Rice Milling,PTA,1972-1987,Yearly,Oligopoly,0.109,,
,,,USA,Pet Food,PTA,1972-1987,Yearly,Oligopoly,0.115,,
,,,USA,Prepared Feeds,PTA,1972-1987,Yearly,Oligopoly,0.448,,
,,,USA,Bread & Bakery,PTA,1972-1987,Yearly,Oligopoly,0.219,,
,,,USA,Refined Sugar,PTA,1972-1987,Yearly,Oligopoly,0.33,,
,,,USA,Candy & Confection.,PTA,1972-1987,Yearly,Oligopoly,0.16,,
,,,USA,Chocolate & Cocoa,PTA,1972-1987,Yearly,Oligopoly,0.211,,
,,,USA,Cottonseed Oil Mill,PTA,1972-1987,Yearly,Oligopoly,0.147,,
,,,USA,Soybean Oil Mill,PTA,1972-1987,Yearly,Oligopoly,0.516,,
,,,USA,Vegetable Oil Mill,PTA,1972-1987,Yearly,Oligopoly,0.278,,
,,,USA,Anim. & Marine Fat,PTA,1972-1987,Yearly,Oligopoly,0.296,,
,,,USA,Lard & Cooking Oil,PTA,1972-1987,Yearly,Oligopoly,0.388,,
,,,USA,Malt Beverages,PTA,1972-1987,Yearly,Oligopoly,0.489,,
,,,USA,Wine & Brandy Spec.,PTA,1972-1987,Yearly,Oligopoly,0.228,,
,,,USA,Distilled Liquor,PTA,1972-1987,Yearly,Oligopoly,0.571,,
,,,USA,Soft Drinks,PTA,1972-1987,Yearly,Oligopoly,0.595,,
,,,USA,Flavor Extr. & Syr.,PTA,1972-1987,Yearly,Oligopoly,0.184,,
,,,USA,Fresh Fish Process.,PTA,1972-1987,Yearly,Oligopoly,0.092,,
,,,USA,Roasted Coffee,PTA,1972-1987,Yearly,Oligopoly,0.507,,
,,,USA,Manufactured Ice,PTA,1972-1987,Yearly,Oligopoly,0.38,,
,,,USA,Macaroni & Spaghe.,PTA,1972-1987,Yearly,Oligopoly,0.17,,
,,,USA,Cigarettes,PTA,1972-1987,Yearly,Oligopoly,0.426,,
,,,USA,Cigars,PTA,1972-1987,Yearly,Oligopoly,0.422,,
,,,USA,Chew. & Smok. Toba.,PTA,1972-1987,Yearly,Oligopoly,0.313,,
,,,USA,Tobacco Stemming,PTA,1972-1987,Yearly,Oligopoly,0.317,,
1998,"Bhuyan, S., & Lopez, R. A.",Oligopoly Power and Allocative Efficiency in US Food and Tobacco Industries. ,USA,Meat Packing,PTA,1972-1987,Yearly,Oligopoly,0.219,?,MPIs here is  conjectual variatioln elasticity. Not sure that it is a right measure of MP
,,,USA,Saus & Prep. Meats,PTA,1972-1987,Yearly,Oligopoly,0.146,,
,,,USA,Poultry & Egg Proc.,PTA,1972-1987,Yearly,Oligopoly,0.289,,
,,,USA,Cheese,PTA,1972-1987,Yearly,Oligopoly,0.128,,
,,,USA,Cond. & Esap. Milk,PTA,1972-1987,Yearly,Oligopoly,0.192,,
,,,USA,Ice Cream,PTA,1972-1987,Yearly,Oligopoly,0.112,,
,,,USA,Fluid Milk,PTA,1972-1987,Yearly,Oligopoly,0.182,,
,,,USA,Canned Specialities,PTA,1972-1987,Yearly,Oligopoly,0.063,,
,,,USA,Canned Fruits & Vegetables,PTA,1972-1987,Yearly,Oligopoly,0.176,,
,,,USA,Dried Fruits & Vegetables,PTA,1972-1987,Yearly,Oligopoly,0.035,,
,,,USA,"Pickled. Sauces, etc.",PTA,1972-1987,Yearly,Oligopoly,0.348,,
,,,USA,Flour & Grain Mill,PTA,1972-1987,Yearly,Oligopoly,0.482,,
,,,USA,Cereal Breakfast Prep.,PTA,1972-1987,Yearly,Oligopoly,0.55,,
,,,USA,Rice Milling,PTA,1972-1987,Yearly,Oligopoly,0.032,,
,,,USA,Pet Food,PTA,1972-1987,Yearly,Oligopoly,0.014,,
,,,USA,Prepared Feeds,PTA,1972-1987,Yearly,Oligopoly,0.173,,
,,,USA,Bread & Bakery,PTA,1972-1987,Yearly,Oligopoly,0.145,,
,,,USA,Refined Sugar,PTA,1972-1987,Yearly,Oligopoly,0.146,,
,,,USA,Candy & Confectionary,PTA,1972-1987,Yearly,Oligopoly,0.078,,
,,,USA,Chocolate & Cocoa Pr.,PTA,1972-1987,Yearly,Oligopoly,0.11,,
,,,USA,Chewing Gum,PTA,1972-1987,Yearly,Oligopoly,0.024,,
,,,USA,Cottonseed Oil Mills,PTA,1972-1987,Yearly,Oligopoly,0.063,,
,,,USA,Soyabean Oil Mills,PTA,1972-1987,Yearly,Oligopoly,0.484,,
,,,USA,Vegetable Oil Mills,PTA,1972-1987,Yearly,Oligopoly,0.131,,
,,,USA,Anim. & Marine Fats & Oils,PTA,1972-1987,Yearly,Oligopoly,0.139,,
,,,USA,Edible Fats & Oils,PTA,1972-1987,Yearly,Oligopoly,0.167,,
,,,USA,Malt Beverages,PTA,1972-1987,Yearly,Oligopoly,0.252,,
,,,USA,Wine & Brandy Sp.,PTA,1972-1987,Yearly,Oligopoly,0.065,,
,,,USA,Distilled Liquor,PTA,1972-1987,Yearly,Oligopoly,0.225,,
,,,USA,Soft Drinks,PTA,1972-1987,Yearly,Oligopoly,0.327,,
,,,USA,Flavour Extr. & Syrups,PTA,1972-1987,Yearly,Oligopoly,0.107,,
,,,USA,Fresh or Frozen Prep. Fish,PTA,1972-1987,Yearly,Oligopoly,0.061,,
,,,USA,Roasted Coffee,PTA,1972-1987,Yearly,Oligopoly,0.267,,
,,,USA,Macaroni & Spaghetti,PTA,1972-1987,Yearly,Oligopoly,0.074,,
,,,USA,Cigarettes,PTA,1972-1987,Yearly,Oligopoly,0.336,,
,,,USA,Cigars,PTA,1972-1987,Yearly,Oligopoly,0.225,,
,,,USA,"Chew, & Smok. Tobacco",PTA,1972-1987,Yearly,Oligopoly,0.207,,
,,,USA,Tobacco Stemm. & Redry.,PTA,1972-1987,Yearly,Oligopoly,0.076,,
2015,"Rigoberto A. Lopez, Hualu Zheng, and Azzeddine Azzam",Oligopoly Power in the Food Industries Revisited: A Stochastic Frontier Approach,USA,Meat packing plants,SFA,1979-2009,Yearly,Oligopoly,0.037,,
,,,USA,Sausages and other prepared meats,SFA,1979-2009,Yearly,Oligopoly,0.039,,
,,,USA,Poultry slaughtering and processing,SFA,1979-2009,Yearly,Oligopoly,0.043,,
,,,USA,Creamery butter,SFA,1979-2009,Yearly,Oligopoly,0.05,,
,,,USA,"Cheese, natural and processed",SFA,1979-2009,Yearly,Oligopoly,0.047,,
,,,USA,"Dry, condensed, and evaporated dairy",SFA,1979-2009,Yearly,Oligopoly,0.047,,
,,,USA,Ice cream and frozen desserts,SFA,1979-2009,Yearly,Oligopoly,0.051,,
,,,USA,Fluid milk,SFA,1979-2009,Yearly,Oligopoly,0.038,,
,,,USA,Canned specialties,SFA,1979-2009,Yearly,Oligopoly,0.081,,
,,,USA,Canned fruits and vegetables,SFA,1979-2009,Yearly,Oligopoly,0.042,,
,,,USA,"Dehydrated fruits, vegetables, and soups",SFA,1979-2009,Yearly,Oligopoly,0.053,,
,,,USA,"Pickles, sauces, and salad dressings",SFA,1979-2009,Yearly,Oligopoly,0.054,,
,,,USA,Flour and other grain mill products,SFA,1979-2009,Yearly,Oligopoly,0.045,,
,,,USA,Cereal breakfast foods,SFA,1979-2009,Yearly,Oligopoly,0.096,,
,,,USA,Rice milling,SFA,1979-2009,Yearly,Oligopoly,0.056,,
,,,USA,Dog and cat food,SFA,1979-2009,Yearly,Oligopoly,0.05,,
,,,USA,"Prepared feeds, n.e.c.",SFA,1979-2009,Yearly,Oligopoly,0.042,,
,,,USA,"Bread, cake, and related products",SFA,1979-2009,Yearly,Oligopoly,0.042,,
,,,USA,Cane sugar refining,SFA,1979-2009,Yearly,Oligopoly,0.047,,
,,,USA,Candy and other confectionery products,SFA,1979-2009,Yearly,Oligopoly,0.048,,
,,,USA,Chocolate and cocoa products,SFA,1979-2009,Yearly,Oligopoly,0.055,,
,,,USA,Chewing gum,SFA,1979-2009,Yearly,Oligopoly,0.062,,
,,,USA,Cottonseed oil mills,SFA,1979-2009,Yearly,Oligopoly,0.055,,
,,,USA,Soybean oil mills,SFA,1979-2009,Yearly,Oligopoly,0.042,,
,,,USA,"Vegetable oil mills, n.e.c.",SFA,1979-2009,Yearly,Oligopoly,0.06,,
,,,USA,Animal and marine fats and oils,SFA,1979-2009,Yearly,Oligopoly,0.062,,
,,,USA,"Edible fats and oils, n.e.c.",SFA,1979-2009,Yearly,Oligopoly,0.049,,
,,,USA,Malt beverages,SFA,1979-2009,Yearly,Oligopoly,0.075,,
,,,USA,"Wines, brandy, and brandy spirits",SFA,1979-2009,Yearly,Oligopoly,0.045,,
,,,USA,Distilled and blended liquors,SFA,1979-2009,Yearly,Oligopoly,0.076,,
,,,USA,Bottled and canned soft drinks,SFA,1979-2009,Yearly,Oligopoly,0.037,,
,,,USA,"Flavoring extracts and syrups, n.e.c.",SFA,1979-2009,Yearly,Oligopoly,0.013,,
,,,USA,Fresh or frozen prepared fish,SFA,1979-2009,Yearly,Oligopoly,0.043,,
,,,USA,Roasted coffee,SFA,1979-2009,Yearly,Oligopoly,0.048,,
,,,USA,Manufactured ice,SFA,1979-2009,Yearly,Oligopoly,0.14,,
,,,USA,Macaroni and spaghetti,SFA,1979-2009,Yearly,Oligopoly,0.075,,
